 1101.95  12.754108   21.833 0.237 2160 1.28  J
 1880.58  21.765933   21.792 0.237 2400 1.36  J
 2401.32  27.793085   22.154 0.321 3600 1.34  J
 3090.99  35.775376 > 22.250       3240 1.33  J
 4258.47  49.287829 > 21.542       4560 1.33  J
 4732.22  54.771095 > 22.055       4560 1.44  J
 6241.91  72.244301 > 21.522       2880 1.35  J
24277.49 280.989412 > 22.390       3600 1.25  J
   64.52   0.746718   18.986 0.154  240 1.46  H
   64.96   0.751794   19.111 0.164  240 1.33  H
   65.40   0.756904   18.995 0.165  240 1.32  H
   65.84   0.762041   19.099 0.159  240 1.41  H
   66.28   0.767086   18.993 0.166  240 1.42  H
   66.71   0.772126   19.135 0.169  240 1.51  H
   67.15   0.777215   18.966 0.188  240 1.41  H
   67.61   0.782483   19.165 0.160  240 1.24  H
   68.04   0.787512   18.994 0.167  240 1.18  H
   68.48   0.792610   18.993 0.149  240 1.21  H
   69.22   0.801194   19.018 0.132  480 1.38  H
   70.02   0.810466   18.985 0.143  480 1.34  H
   70.82   0.819633   18.973 0.153  480 1.32  H
   71.62   0.828972   18.944 0.130  480 1.12  H
   72.41   0.838035   18.887 0.112  480 1.11  H
   73.19   0.847117   18.857 0.115  480 1.14  H
   73.99   0.856314   18.915 0.108  480 1.14  H
   74.79   0.865581   18.919 0.118  480 1.10  H
   75.58   0.874812   18.844 0.115  480 1.16  H
   76.38   0.883978   18.777 0.106  480 1.15  H
   77.17   0.893158   18.704 0.112  480 1.14  H
   77.98   0.902545   18.590 0.109  480 1.14  H
   78.78   0.911825   18.574 0.106  480 1.23  H
   79.58   0.921103   18.571 0.103  480 1.19  H
   80.38   0.930378   18.441 0.086  480 1.21  H
   81.19   0.939736   18.498 0.098  480 1.15  H
   81.97   0.948770   18.374 0.101  480 1.55  H
  151.52   1.753657   18.309 0.117  480 1.17  H
  155.94   1.804812   18.313 0.114  480 1.16  H
  160.36   1.855967   18.351 0.104  480 1.33  H
  164.73   1.906554   18.404 0.121  480 1.28  H
  239.84   2.775900   19.010 0.137  960 1.52  H
  250.97   2.904789   19.106 0.121  960 1.18  H
  329.20   3.810145   19.390 0.120 1920 1.08  H
  415.49   4.808939   19.881 0.159 1920 1.27  H
  501.11   5.799862   19.987 0.150 1920 1.14  H
  588.13   6.807036   20.247 0.193 1920 1.34  H
  669.20   7.745412   20.365 0.291  960 1.81  H
  843.69   9.764943   20.711 0.405 1440 1.34  H
 1101.95  12.754108   20.817 0.250 2160 1.30  H
 1880.58  21.765933   21.762 0.274 2400 1.27  H
 2401.32  27.793085   21.856 0.358 3600 1.33  H
 3090.99  35.775376 > 21.850       3240 1.27  H
 4258.47  49.287829 > 21.046       4560 1.34  H
 4732.22  54.771095 > 21.615       4560 1.44  H
 6241.91  72.244301 > 20.913       2880 1.39  H
24277.49 280.989412 > 21.837       3600 1.34  H
   64.52   0.746718   18.920 0.245  240 1.43 Ks
   64.96   0.751794   18.547 0.179  240 1.33 Ks
   65.40   0.756904   18.757 0.255  240 1.34 Ks
   65.84   0.762041   18.714 0.199  240 1.29 Ks
   66.28   0.767086   18.896 0.242  240 1.31 Ks
   66.71   0.772126   18.702 0.203  240 1.32 Ks
   67.15   0.777215   18.861 0.275  240 1.30 Ks
   67.61   0.782483   18.643 0.214  240 1.29 Ks
   68.04   0.787512   18.635 0.217  240 1.25 Ks
   68.48   0.792610   18.564 0.196  240 1.32 Ks
   69.22   0.801194   18.680 0.219  480 1.36 Ks
   70.02   0.810466   18.722 0.206  480 1.34 Ks
