Optical photometry of SE SNe in the Swope natural system.
JD  u, uerr, g, gerr, r, rerr, i, ierr, B, Berr, V, Verr
2454599.63  INDEF  INDEF  18.454 0.013  17.885 0.011  17.600 0.012  18.879 0.021  18.075 0.018  
2454616.61  INDEF  INDEF  INDEF  INDEF  18.249 0.012  17.965 0.012  19.141 0.017  18.442 0.014  
2454626.62  INDEF  INDEF  18.819 0.013  18.535 0.012  18.302 0.015  19.263 0.022  18.623 0.017  
2454628.59  INDEF  INDEF  18.894 0.015  18.462 0.013  18.222 0.014  INDEF  INDEF  18.646 0.017  
2454644.57  INDEF  INDEF  19.124 0.016  18.856 0.015  18.692 0.017  19.567 0.023  18.985 0.020  
2454648.59  INDEF  INDEF  19.269 0.018  18.993 0.018  18.766 0.027  19.650 0.019  19.057 0.021  
2454653.55  INDEF  INDEF  19.346 0.016  18.990 0.017  18.734 0.019  19.741 0.022  19.178 0.020  
2008gc 
2454747.72  19.585 0.054  19.128 0.018  18.988 0.021  18.973 0.026  19.261 0.027  18.993 0.025  
2454749.70  19.834 0.093  19.241 0.023  19.024 0.021  18.998 0.027  19.486 0.037  19.098 0.025  
2454751.71  INDEF  INDEF  INDEF  INDEF  INDEF  INDEF  INDEF  INDEF  INDEF  INDEF  19.176 0.113  
2454752.74  INDEF  INDEF  19.298 0.124  19.103 0.090  18.958 0.051  19.643 0.059  19.186 0.040  
2454753.72  INDEF  INDEF  19.441 0.044  19.040 0.029  19.017 0.034  19.777 0.084  19.233 0.052  
2454755.79  INDEF  INDEF  19.586 0.039  19.189 0.027  19.038 0.029  19.990 0.068  19.267 0.038  
2454756.79  INDEF  INDEF  19.648 0.034  19.222 0.024  19.097 0.026  20.067 0.058  19.339 0.032  
2454759.72  INDEF  INDEF  19.840 0.035  19.308 0.023  19.129 0.024  20.293 0.046  19.474 0.030  
2454760.71  INDEF  INDEF  19.906 0.035  19.348 0.020  19.148 0.022  20.345 0.044  19.555 0.034  
2454768.68  INDEF  INDEF  20.367 0.049  19.695 0.027  19.380 0.027  20.942 0.061  19.931 0.041  
2454772.74  INDEF  INDEF  20.518 0.047  19.873 0.027  19.509 0.029  INDEF  INDEF  20.142 0.048  
2454777.72  INDEF  INDEF  20.620 0.055  20.017 0.032  19.646 0.032  INDEF  INDEF  20.259 0.053  
2454781.68  INDEF  INDEF  INDEF  INDEF  20.134 0.046  19.639 0.042  INDEF  INDEF  20.392 0.075  
2454789.81  INDEF  INDEF  INDEF  INDEF  20.269 0.037  19.899 0.042  INDEF  INDEF  20.561 0.063  
2008hh 
2454792.59  18.521 0.022  17.611 0.010  17.302 0.012  17.275 0.013  17.922 0.016  17.468 0.010  
2454793.60  18.622 0.022  17.668 0.011  17.303 0.010  17.249 0.012  18.012 0.016  17.485 0.013  
2454795.67  18.941 0.029  17.793 0.011  17.330 0.012  17.270 0.012  18.188 0.017  17.567 0.012  
2454797.62  19.406 0.034  17.978 0.010  17.377 0.009  17.285 0.010  18.385 0.019  17.652 0.011  
2454801.68  INDEF  INDEF  18.374 0.011  17.540 0.011  17.405 0.011  18.878 0.023  17.917 0.012  
2454802.63  20.030 0.055  18.474 0.012  17.585 0.010  17.421 0.012  18.997 0.023  18.000 0.013  
2454806.63  20.581 0.134  18.862 0.017  17.845 0.012  17.624 0.012  19.448 0.037  18.309 0.016  
2454808.60  INDEF  INDEF  19.026 0.026  17.944 0.015  17.700 0.013  19.460 0.054  18.416 0.022  
2454813.59  INDEF  INDEF  19.278 0.045  18.242 0.020  17.968 0.016  19.825 0.097  18.792 0.034  
2454817.56  INDEF  INDEF  19.466 0.021  18.406 0.016  18.177 0.015  20.035 0.048  18.917 0.022  
2454821.54  INDEF  INDEF  19.620 0.027  18.578 0.015  18.339 0.015  INDEF  INDEF  19.058 0.073  
2454827.54  INDEF  INDEF  INDEF  INDEF  18.732 0.036  18.510 0.030  20.292 0.087  19.258 0.030  
2009K 
2454848.64  17.923 0.023  17.372 0.011  17.044 0.011  16.940 0.015  17.590 0.013  17.204 0.011  
2454855.66  18.372 0.026  17.244 0.011  16.612 0.008  16.574 0.009  17.571 0.013  16.898 0.011  
2454856.63  18.334 0.028  17.130 0.011  16.527 0.010  16.501 0.012  17.460 0.014  16.804 0.011  
2454858.65  18.015 0.026  16.925 0.010  16.358 0.007  16.382 0.008  17.229 0.012  16.622 0.009  
2454866.63  17.474 0.019  16.372 0.009  15.944 0.008  15.981 0.009  16.651 0.012  16.127 0.010  
2454869.56  17.653 0.021  16.365 0.009  15.846 0.008  15.881 0.008  16.676 0.012  16.077 0.010  
2454871.61  17.898 0.026  16.438 0.010  15.826 0.008  15.828 0.011  16.794 0.013  16.086 0.010  
2454873.55  18.156 0.022  16.530 0.011  15.842 0.010  15.827 0.011  16.920 0.013  16.121 0.010  
2454874.61  18.346 0.031  16.577 0.009  15.860 0.008  15.813 0.009  16.996 0.016  16.157 0.009  
2009Z
2454869.81  18.544 0.035  17.767 0.011  17.654 0.011  17.748 0.012  18.008 0.014  17.644 0.012  
2454872.90  INDEF  INDEF  INDEF  INDEF  INDEF  INDEF  INDEF  INDEF  INDEF  INDEF  17.381 0.016  
2454873.82  18.367 0.032  17.550 0.011  17.315 0.012  17.426 0.013  17.818 0.017  17.359 0.014  
2454874.78  18.498 0.058  17.539 0.013  17.285 0.012  17.357 0.013  17.801 0.019  17.299 0.013  
2454879.89  INDEF  INDEF  17.511 0.011  INDEF  INDEF  17.171 0.015  17.817 0.016  17.259 0.011  
2454884.89  18.989 0.027  17.793 0.011  17.234 0.011  17.170 0.010  18.189 0.015  17.452 0.013  
2454885.78  19.076 0.030  17.891 0.013  17.288 0.013  17.207 0.012  18.280 0.016  17.506 0.013  
2454888.75  19.659 0.043  18.165 0.011  17.451 0.010  17.282 0.011  18.615 0.015  17.691 0.011  
2454896.83  20.790 0.082  18.890 0.014  17.922 0.011  17.663 0.012  19.435 0.023  18.285 0.014  
2454898.79  21.019 0.177  18.998 0.020  18.021 0.012  17.765 0.012  19.513 0.036  18.360 0.018  
2454900.79  INDEF  INDEF  19.052 0.028  18.127 0.016  17.852 0.016  19.589 0.061  18.487 0.023  
2454902.73  INDEF  INDEF  19.176 0.046  18.171 0.022  17.960 0.019  INDEF  INDEF  18.582 0.034  
2454908.77  INDEF  INDEF  19.372 0.021  18.433 0.013  18.163 0.013  19.901 0.045  18.777 0.020  
2454911.84  INDEF  INDEF  19.417 0.017  18.534 0.014  18.262 0.014  20.016 0.039  18.828 0.017  
2454914.77  INDEF  INDEF  19.530 0.019  18.607 0.013  18.334 0.014  20.040 0.039  18.929 0.017  
2454915.79  INDEF  INDEF  19.490 0.017  18.620 0.014  18.352 0.015  20.078 0.038  18.971 0.019  
2454917.86  INDEF  INDEF  19.554 0.020  18.646 0.014  18.431 0.018  20.109 0.043  18.954 0.020  
2454927.75  INDEF  INDEF  19.701 0.031  18.903 0.022  18.649 0.021  20.082 0.061  19.173 0.032  
2454928.78  INDEF  INDEF  19.696 0.039  18.889 0.028  18.693 0.024  20.128 0.077  19.115 0.043  
2009bb 
2454914.58  18.696 0.044  17.478 0.015  16.982 0.022  16.950 0.027  17.908 0.020  17.186 0.013  
2454915.57  18.263 0.028  17.093 0.018  16.612 0.016  16.559 0.017  17.473 0.012  16.794 0.011  
2454917.69  18.015 0.023  16.732 0.015  16.172 0.021  INDEF  INDEF  17.143 0.013  16.390 0.012  
2454920.57  18.081 0.024  16.558 0.011  15.937 0.019  15.908 0.015  17.047 0.013  16.161 0.012  
2454927.58  18.857 0.039  16.880 0.010  15.887 0.013  15.817 0.012  17.582 0.013  16.249 0.009  
2454928.55  19.144 0.050  16.984 0.011  15.924 0.012  15.831 0.013  17.734 0.016  16.338 0.011  
2454930.53  19.571 0.077  17.196 0.012  16.000 0.018  15.881 0.015  17.969 0.019  16.501 0.012  
2454931.54  19.616 0.102  17.320 0.013  16.068 0.016  15.931 0.014  18.115 0.022  16.596 0.010  
2454933.55  19.828 0.072  17.543 0.013  16.223 0.015  16.054 0.012  18.389 0.020  16.803 0.011  
2454937.60  20.262 0.093  17.990 0.028  16.583 0.034  16.359 0.021  18.873 0.025  17.192 0.011  
2454938.59  20.310 0.095  18.102 0.030  16.665 0.035  16.385 0.024  18.965 0.029  17.288 0.013  
2454942.58  20.538 0.108  18.373 0.025  16.933 0.022  16.706 0.020  19.299 0.035  17.585 0.012  
2454946.55  20.753 0.110  18.613 0.032  17.239 0.039  16.963 0.023  19.497 0.041  INDEF  INDEF
2454947.54  20.985 0.138  18.705 0.050  INDEF  INDEF  17.045 0.024  19.573 0.044  17.878 0.019  
2454960.53  INDEF  INDEF  19.072 0.032  17.684 0.034  17.524 0.026  19.859 0.071  18.333 0.023  
2454964.57  INDEF  INDEF  19.099 0.042  17.822 0.029  17.631 0.020  19.841 0.064  18.405 0.024  
2454966.53  INDEF  INDEF  19.117 0.047  17.868 0.050  17.713 0.026  20.038 0.064  18.507 0.024  
2454972.50  INDEF  INDEF  19.349 0.041  18.203 0.065  17.884 0.032  20.268 0.065  18.703 0.026  
2454976.50  INDEF  INDEF  INDEF  INDEF  INDEF  INDEF  17.917 0.053  INDEF  INDEF  18.686 0.064  
2009ca 
2454927.86  20.328 0.097  18.961 0.015  18.397 0.014  18.359 0.017  19.308 0.028  18.541 0.015  
2454928.87  20.423 0.086  18.984 0.021  18.410 0.014  18.381 0.017  19.396 0.023  18.593 0.016  
2454930.84  INDEF  INDEF  19.130 0.054  18.460 0.031  18.464 0.025  19.319 0.067  18.687 0.033  
2454931.87  INDEF  INDEF  19.100 0.041  18.453 0.021  18.465 0.022  19.377 0.057  18.639 0.026  
2454933.85  INDEF  INDEF  19.158 0.039  18.558 0.023  18.511 0.026  19.593 0.077  18.847 0.043  
2454937.86  INDEF  INDEF  19.284 0.022  18.639 0.019  18.599 0.022  19.671 0.047  18.897 0.022  
2454938.86  INDEF  INDEF  19.373 0.023  18.700 0.018  18.611 0.019  19.790 0.036  18.894 0.023  
2454946.83  INDEF  INDEF  19.700 0.020  18.904 0.017  18.808 0.021  20.142 0.037  19.205 0.023  
2454947.83  INDEF  INDEF  19.719 0.021  18.904 0.017  18.833 0.021  20.272 0.040  19.183 0.020  
2454956.83  INDEF  INDEF  20.068 0.022  19.238 0.017  19.073 0.018  20.510 0.053  19.468 0.046  
2454959.84  INDEF  INDEF  20.186 0.063  19.367 0.028  19.227 0.027  20.819 0.168  19.649 0.049  
2454963.85  INDEF  INDEF  20.414 0.050  19.505 0.028  19.299 0.028  INDEF  INDEF  INDEF  INDEF
2454964.81  INDEF  INDEF  20.475 0.069  19.491 0.028  19.323 0.026  20.907 0.119  19.745 0.036  
2454966.77  INDEF  INDEF  20.434 0.076  19.602 0.041  19.413 0.052  20.949 0.137  19.811 0.075  
2009dp 
2454947.80  INDEF  INDEF  18.434 0.041  17.629 0.038  17.582 0.042  19.052 0.050  17.920 0.036  
2454956.89  INDEF  INDEF  18.784 0.060  17.741 0.041  17.631 0.040  19.455 0.066  18.230 0.042  
2454959.79  INDEF  INDEF  18.909 0.053  17.843 0.034  17.650 0.039  19.495 0.103  18.274 0.042  
2454963.79  INDEF  INDEF  19.196 0.065  18.036 0.041  17.802 0.041  19.952 0.096  18.635 0.047  
2454964.76  INDEF  INDEF  19.225 0.065  18.098 0.041  17.869 0.045  20.090 0.104  18.699 0.046  
2454968.83  INDEF  INDEF  19.521 0.087  18.304 0.058  18.032 0.054  INDEF  INDEF  18.907 0.065  
2454972.77  INDEF  INDEF  INDEF  INDEF  18.402 0.068  18.162 0.063  INDEF  INDEF  18.941 0.072  
2454974.75  INDEF  INDEF  INDEF  INDEF  18.464 0.069  18.244 0.066  INDEF  INDEF  19.038 0.079  
2454976.74  INDEF  INDEF  INDEF  INDEF  18.433 0.070  INDEF  INDEF  INDEF  INDEF  INDEF  INDEF
2009dt 
2454956.92  INDEF  INDEF  INDEF  INDEF  INDEF  INDEF  INDEF  INDEF  INDEF  INDEF  17.449 0.015  
2454959.89  INDEF  INDEF  17.966 0.020  17.087 0.021  16.870 0.025  18.526 0.037  17.449 0.016  
2454963.88  INDEF  INDEF  18.179 0.021  17.114 0.022  16.866 0.026  18.794 0.038  17.570 0.013  
2454964.85  INDEF  INDEF  18.263 0.028  17.133 0.021  16.866 0.026  18.842 0.035  17.622 0.015  
2454966.81  INDEF  INDEF  18.386 0.024  17.199 0.023  16.923 0.028  19.029 0.037  17.700 0.017  
2454968.87  INDEF  INDEF  18.601 0.029  17.283 0.023  16.966 0.026  19.253 0.039  17.867 0.013  
2454970.88  INDEF  INDEF  18.767 0.028  17.386 0.022  17.069 0.026  19.457 0.044  18.012 0.016  
2454972.81  INDEF  INDEF  18.949 0.032  17.483 0.023  17.119 0.027  19.616 0.041  18.155 0.017  
2454974.81  INDEF  INDEF  19.114 0.033  17.615 0.024  17.209 0.027  19.880 0.046  18.325 0.019  
2454976.79  INDEF  INDEF  INDEF  INDEF  17.723 0.024  17.292 0.027  19.934 0.074  18.434 0.023  
