NIR photometry of the local sequences in the standard system.
ID, alpha (2000), delta (2000), Y, Yerr, J, Jerr, H, Herr
------------------------------------------------------------------
2004ew
106  09:43:18.93  -09:37:58.2  16.421 0.039  16.104 0.035  15.620 0.103   
107  09:43:23.16  -09:39:19.4  16.868 0.109  16.405 0.078  15.591 0.174   
108  09:43:21.22  -09:38:06.0  17.677 0.090   INDEF INDEF   INDEF INDEF   
113  09:43:15.82  -09:36:57.5  17.885 0.120  17.752 0.066  17.233 0.003   
114  09:43:10.71  -09:37:55.8  17.339 0.090  17.016 0.033  16.399 0.074   
115  09:43:08.68  -09:37:28.0  17.605 0.138   INDEF INDEF   INDEF INDEF   
117  09:43:23.71  -09:35:60.0  17.468 0.123   INDEF INDEF   INDEF INDEF   
118  09:43:26.58  -09:35:43.2  16.397 0.061  16.103 0.065  15.920 0.166   
119  09:43:25.18  -09:34:56.9  15.402 0.037  15.112 0.038  14.705 0.045   
121  09:43:07.89  -09:39:06.4  14.365 0.019  14.070 0.043  13.684 0.021   
123  09:43:31.11  -09:36:20.3  16.880 0.106  16.341 0.067  15.676 0.038   
125  09:43:36.92  -09:37:09.4  13.933 0.020  13.669 0.046  13.293 0.044   
126  09:43:19.55  -09:38:46.0  11.715 0.016   INDEF INDEF   INDEF INDEF   
127  09:43:09.08  -09:32:29.3  13.591 0.009  13.336 0.038  13.004 0.031   
128  09:43:08.75  -09:41:01.1  13.082 0.013  12.844 0.050  12.503 0.040   
129  09:43:35.05  -09:35:14.4  16.258 0.035  15.825 0.041  15.224 0.073   
130  09:43:35.05  -09:37:20.5  16.480 0.068  16.028 0.053  15.439 0.099   
2006bf 
101  12:59:12.29  +09:42:14.7  13.222 0.004  12.769 0.012  12.186 0.009   
102  12:59:04.53  +09:37:52.6  14.259 0.021  13.831 0.021  13.222 0.010   
103  12:59:12.74  +09:36:34.7  14.813 0.013  14.464 0.012  13.940 0.016   
104  12:59:04.29  +09:43:17.5  14.811 0.003  14.491 0.023  14.065 0.017   
105  12:59:02.99  +09:41:38.1  14.958 0.011  14.613 0.027  14.160 0.004   
106  12:59:13.44  +09:40:21.0  15.126 0.009  14.732 0.030  14.098 0.003   
107  12:59:10.56  +09:44:38.8  15.348 0.030   INDEF INDEF   INDEF INDEF   
108  12:58:47.13  +09:44:00.5  15.114 0.013  14.877 0.027  14.524 0.022   
109  12:58:47.78  +09:38:04.5  15.717 0.022  15.483 0.015  15.126 0.028   
110  12:58:51.90  +09:42:14.5  16.232 0.015  15.804 0.009  15.239 0.046   
111  12:58:57.36  +09:41:09.7  16.313 0.036  15.960 0.040  15.358 0.060   
112  12:59:01.37  +09:37:46.4  16.417 0.044  15.975 0.031  15.432 0.033   
113  12:59:11.69  +09:38:03.9  16.641 0.069  16.256 0.067  15.570 0.038   
114  12:59:00.37  +09:41:05.2  16.713 0.039  16.191 0.032  15.739 0.131   
115  12:59:09.51  +09:39:41.0  16.795 0.056  16.297 0.048  15.715 0.010   
116  12:58:52.09  +09:35:15.5  16.792 0.014  16.382 0.022  15.736 0.079   
117  12:59:15.40  +09:42:36.2  16.832 0.051  16.421 0.045  15.869 0.078   
118  12:59:14.59  +09:42:05.4  17.209 0.056  16.644 0.099  16.127 0.100   
119  12:59:11.53  +09:39:23.9  17.094 0.075  16.825 0.173  16.477 0.149   
120  12:58:58.86  +09:34:29.7  17.278 0.179  16.923 0.086  16.344 0.133   
121  12:58:47.80  +09:40:59.6  17.386 0.088  17.005 0.037  16.425 0.099   
122  12:58:58.30  +09:40:37.9  17.629 0.161   INDEF INDEF   INDEF INDEF   
123  12:59:06.37  +09:38:30.0  17.741 0.133   INDEF INDEF   INDEF INDEF   
124  12:58:46.68  +09:40:59.4   INDEF INDEF  17.303 0.045  17.024 0.118   
125  12:59:06.18  +09:39:27.3  17.874 0.070   INDEF INDEF   INDEF INDEF   
128  12:58:45.61  +09:38:44.7  18.082 0.106   INDEF INDEF   INDEF INDEF   
129  12:58:49.27  +09:39:06.0   INDEF INDEF  18.186 0.135  17.361 0.149   
2006ep 
101  00:41:50.29  +25:30:46.6  12.875 0.017  12.651 0.040  12.308 0.011   
102  00:41:44.17  +25:30:04.8  14.315 0.016  13.946 0.043  13.380 0.019   
103  00:41:38.08  +25:32:19.6  14.768 0.022  14.515 0.052  14.241 0.017   
104  00:41:24.08  +25:27:13.7  15.095 0.033  14.849 0.042  14.544 0.032   
105  00:41:24.05  +25:28:21.1  15.300 0.028  15.041 0.015  14.756 0.030   
106  00:41:49.69  +25:30:00.5  15.580 0.022  15.134 0.044  14.569 0.050   
107  00:41:20.92  +25:29:12.3  15.678 0.053  15.292 0.047  14.793 0.012   
108  00:41:22.66  +25:27:40.8  15.729 0.051  15.425 0.043  14.971 0.055   
109  00:41:32.97  +25:33:34.7  15.975 0.058  15.613 0.038  15.165 0.083   
110  00:41:20.40  +25:33:04.0  16.228 0.049  15.618 0.045  15.056 0.029   
111  00:41:42.27  +25:31:44.3  16.743 0.108  16.508 0.080  16.107 0.119   
112  00:41:23.01  +25:30:45.9  16.854 0.056  16.579 0.078  16.030 0.125   
113  00:41:29.49  +25:32:20.2  17.296 0.131  17.017 0.140  16.353 0.012   
114  00:41:26.03  +25:27:22.2  17.314 0.091  17.081 0.147  16.277 0.006   
115  00:41:50.73  +25:31:31.8  17.434 0.011  17.262 0.159  16.163 0.141   
116  00:41:40.31  +25:33:08.8  17.442 0.019  17.044 0.164  16.282 0.131   
118  00:41:47.96  +25:30:19.0  17.535 0.019   INDEF INDEF   INDEF INDEF   
119  00:41:21.17  +25:30:47.4  16.471 0.047  16.108 0.077  15.577 0.074   
120  00:41:33.32  +25:29:00.6  15.055 0.027  14.838 0.041  14.587 0.042   
121  00:41:26.15  +25:31:57.8  15.050 0.015  14.819 0.043  14.593 0.027   
122  00:41:25.99  +25:32:40.8  13.227 0.013  12.951 0.042  12.544 0.007   
123  00:41:48.90  +25:32:00.3  15.380 0.020  15.056 0.038  14.529 0.034   
124  00:41:39.71  +25:29:48.0  16.287 0.066  15.835 0.086  15.279 0.077   
125  00:41:30.49  +25:28:28.7  17.518 0.028   INDEF INDEF   INDEF INDEF   
126  00:41:36.77  +25:31:11.3  17.572 0.136  17.404 0.054  16.418 0.145   
127  00:41:19.75  +25:28:08.6  17.116 0.062  16.661 0.129  15.915 0.112   
128  00:41:44.80  +25:32:10.0  15.849 0.033  15.431 0.048  14.874 0.015   
129  00:41:38.12  +25:27:14.3  15.264 0.062  14.982 0.055  14.628 0.029   
130  00:41:39.11  +25:31:58.8  15.609 0.047  15.237 0.034  14.641 0.026   
2006ir 
101  23:04:51.25  +07:37:05.3  12.659 0.019  12.414 0.005  12.128 0.016   
102  23:04:40.11  +07:39:58.5  14.333 0.018  13.984 0.009  13.468 0.018   
103  23:04:30.19  +07:39:02.6  14.905 0.017  14.429 0.012  13.861 0.015   
104  23:04:43.22  +07:38:49.8  15.023 0.023  14.700 0.008  14.291 0.046   
105  23:04:31.79  +07:33:47.2  15.480 0.028  15.049 0.026  14.407 0.032   
106  23:04:33.18  +07:37:53.9  15.641 0.036  15.342 0.048  15.076 0.026   
107  23:04:33.01  +07:35:25.3  15.902 0.039  15.422 0.048  14.787 0.043   
108  23:04:33.86  +07:33:34.6  15.943 0.031  15.462 0.038  14.816 0.095   
109  23:04:30.47  +07:37:29.8  15.971 0.036  15.489 0.065  14.865 0.041   
110  23:04:55.68  +07:35:50.8  16.085 0.043  15.630 0.022  15.004 0.013   
111  23:04:56.46  +07:36:14.7  16.301 0.044   INDEF INDEF   INDEF INDEF   
112  23:04:35.20  +07:39:38.4  16.219 0.029  15.827 0.029  15.214 0.125   
113  23:04:42.48  +07:39:22.7  16.309 0.067  15.813 0.035  15.198 0.007   
114  23:04:29.89  +07:39:15.5  16.456 0.055  15.949 0.040  15.375 0.145   
115  23:04:34.24  +07:35:37.7  16.483 0.076  16.144 0.103  15.808 0.085   
116  23:04:52.59  +07:34:18.7  16.687 0.051  16.557 0.084  15.907 0.027   
117  23:04:43.31  +07:36:38.4  16.910 0.118  16.484 0.095  16.031 0.094   
118  23:04:50.36  +07:35:55.9  16.893 0.147  16.310 0.058  15.828 0.147   
119  23:04:26.87  +07:36:53.4  17.169 0.100  16.573 0.124   INDEF INDEF   
120  23:04:37.15  +07:33:31.0  17.228 0.117  16.589 0.103  15.905 0.127   
121  23:04:37.66  +07:35:49.8  17.211 0.105  16.860 0.100  16.024 0.134   
122  23:04:46.24  +07:37:20.9  17.327 0.061  16.831 0.123  16.012 0.149   
123  23:04:26.77  +07:35:14.0  17.419 0.151  16.764 0.175  16.106 0.036   
125  23:04:31.68  +07:37:44.8  17.550 0.135   INDEF INDEF   INDEF INDEF   
