2007ag 2454208.59  18.305 0.096  18.297 0.152  ---    ---
2007hn 2454379.50  18.159 0.073  17.635 0.076  ---    ---
2007hn 2454379.49  18.165 0.053  ---    ---    ---    ---
2007kj 2454377.71  17.601 0.048  17.494 0.067  17.335 0.125
2007kj 2454377.71  17.585 0.043  ---    ---    17.380 0.133
2007kj 2454381.70  17.388 0.038  17.318 0.057  17.334 0.110
2007kj 2454381.71  17.303 0.038  17.210 0.050  17.389 0.116
2007kj 2454384.69  17.253 0.030  17.283 0.056  17.032 0.082
2007kj 2454384.70  17.216 0.033  17.125 0.050  17.017 0.087
2007kj 2454393.67  17.505 0.036  17.318 0.067  16.980 0.095
2007kj 2454393.69  ---    ---    17.355 0.067  17.042 0.092
2007kj 2454408.64  18.003 0.064  17.858 0.087  17.460 0.148
2007kj 2454408.65  17.967 0.053  17.751 0.101  17.507 0.171
2007kj 2454412.61  18.079 0.104  18.029 0.129  17.718 0.172
2007kj 2454412.60  18.055 0.066  ---    ---    ---    ---
2007kj 2454437.59  18.763 0.122  ---    ---    ---    ---
2007kj 2454437.61  18.696 0.093  ---    ---    ---    ---
2007rz 2454444.72  16.570 0.027  16.350 0.028  16.354 0.070
2007rz 2454444.76  ---    ---    ---    ---    16.271 0.054
2007rz 2454446.74  16.646 0.025  16.460 0.028  ---    ---
2007rz 2454446.76  16.612 0.023  16.449 0.023  ---    ---
2007rz 2454448.73  16.742 0.019  16.497 0.027  16.198 0.041
2007rz 2454448.74  16.744 0.019  ---    ---    16.230 0.051
2007rz 2454452.67  16.942 0.026  16.812 0.034  16.433 0.057
2007rz 2454452.65  16.952 0.026  ---    ---    ---    ---
2008aq 2454530.83  15.577 0.021  15.381 0.016  15.319 0.017
2008aq 2454530.84  15.565 0.020  15.350 0.017  15.374 0.020
2008aq 2454536.88  15.411 0.011  15.193 0.010  15.105 0.015
2008aq 2454536.89  15.391 0.012  15.250 0.018  15.177 0.014
2008aq 2454546.85  15.757 0.016  15.505 0.013  15.246 0.014
2008aq 2454546.86  15.757 0.013  15.580 0.021  15.283 0.013
2008aq 2454561.85  16.121 0.017  16.083 0.013  15.703 0.020
2008aq 2454561.86  16.101 0.015  16.151 0.021  15.698 0.022
2008aq 2454617.71  17.445 0.021  18.084 0.075  ---    ---
2008aq 2454617.72  17.551 0.026  18.067 0.086  ---    ---
